observer,cd,targ_side,bk,t,rt,acc
d2,long,absent,block 2,151,4.187,1
d2,long,absent,block 2,152,3.853,1
d2,long,absent,block 2,153,3.82,1
d2,long,absent,block 2,154,2.736,1
d2,long,absent,block 2,155,2.402,1
d2,long,homogeneous,block 2,156,0.635,1
d2,long,homogeneous,block 2,157,0.535,1
d2,long,absent,block 2,158,3.836,1
d2,long,absent,block 2,159,3.486,1
d2,long,heterogeneous,block 2,160,3.086,0
d2,long,heterogeneous,block 2,161,1.469,1
d2,long,heterogeneous,block 2,162,0.701,1
d2,long,absent,block 2,163,3.436,1
d2,long,absent,block 2,164,2.702,1
d2,long,heterogeneous,block 2,165,1.652,1
d2,long,absent,block 2,166,3.82,1
d2,long,absent,block 2,167,4.02,1
d2,long,absent,block 2,168,2.686,1
d2,long,homogeneous,block 2,169,0.718,1
d2,long,homogeneous,block 2,170,0.618,1
d2,long,heterogeneous,block 2,171,1.752,0
d2,long,heterogeneous,block 2,172,1.719,1
d2,long,heterogeneous,block 2,173,3.319,0
d2,long,absent,block 2,174,4.103,1
d2,long,absent,block 2,175,4.187,1
d2,long,homogeneous,block 2,176,0.618,1
d2,long,absent,block 2,177,3.736,1
d2,long,absent,block 2,178,4.77,1
d2,long,absent,block 2,179,3.302,1
d2,long,homogeneous,block 2,180,0.869,1
d2,long,homogeneous,block 2,181,0.551,1
d2,long,heterogeneous,block 2,182,0.902,1
d2,long,absent,block 2,183,3.353,1
d2,long,heterogeneous,block 2,184,1.885,1
d2,long,absent,block 2,185,3.002,1
d2,long,absent,block 2,186,3.019,1
d2,long,absent,block 2,187,4.02,1
d2,long,absent,block 2,188,4.053,1
d2,long,heterogeneous,block 2,189,1.669,1
d2,long,homogeneous,block 2,190,0.602,1
d2,long,heterogeneous,block 2,191,4.436,1
d2,long,absent,block 2,192,4.087,1
d6,brief,absent,block 1,1,0.871,1
d6,brief,heterogeneous,block 1,2,0.971,0
d6,brief,absent,block 1,3,1.261,1
d6,brief,absent,block 1,4,1.592,1
d6,brief,absent,block 1,5,1.271,1
d6,brief,homogeneous,block 1,6,0.781,1
d6,brief,absent,block 1,7,1.171,1
d6,brief,heterogeneous,block 1,8,0.851,0
d6,brief,absent,block 1,9,1.752,1
d6,brief,absent,block 1,10,1.291,1
d6,brief,homogeneous,block 1,11,1.122,1
d6,brief,heterogeneous,block 1,12,0.891,0
d6,brief,absent,block 1,13,1.622,1
d6,brief,homogeneous,block 1,14,0.751,1
d6,brief,absent,block 1,15,0.961,1
d6,brief,homogeneous,block 1,16,1.141,1
d6,brief,absent,block 1,17,0.871,1
d6,brief,absent,block 1,18,0.801,1
d6,brief,heterogeneous,block 1,19,0.851,0
d6,brief,homogeneous,block 1,20,0.782,1
d6,brief,homogeneous,block 1,21,0.711,1
d6,brief,heterogeneous,block 1,22,1.201,0
d6,brief,homogeneous,block 1,23,0.712,1
d6,brief,absent,block 1,24,1.361,1
d6,brief,absent,block 1,25,1.241,1
d6,brief,heterogeneous,block 1,26,1.271,0
d6,brief,absent,block 1,27,1.291,1
d6,brief,absent,block 1,28,1.491,1
d6,brief,homogeneous,block 1,29,0.892,1
d6,brief,heterogeneous,block 1,30,1.221,0
d6,brief,heterogeneous,block 1,31,1.651,0
d6,brief,absent,block 1,32,2.002,1
d6,brief,absent,block 1,33,1.591,1
d6,brief,heterogeneous,block 1,34,1.452,0
d6,brief,absent,block 1,35,1.611,1
d6,brief,absent,block 1,36,1.511,1
d6,brief,heterogeneous,block 1,37,1.602,0
d6,brief,heterogeneous,block 1,38,1.071,0
d6,brief,homogeneous,block 1,39,0.802,1
d6,brief,heterogeneous,block 1,40,1.441,0
d6,brief,absent,block 1,41,1.361,1
d6,brief,homogeneous,block 1,42,0.961,1
d6,brief,heterogeneous,block 1,43,1.422,0
d6,brief,absent,block 1,44,1.081,1
d6,brief,absent,block 1,45,1.081,1
d6,brief,absent,block 1,46,0.921,1
d6,brief,absent,block 1,47,0.921,1
d6,brief,heterogeneous,block 1,48,1.511,0
d6,brief,absent,block 1,49,0.901,1
d6,brief,homogeneous,block 1,50,0.671,1
d6,brief,absent,block 1,51,0.981,1
d6,brief,absent,block 1,52,1.492,1
d6,brief,homogeneous,block 1,53,0.931,1
d6,brief,heterogeneous,block 1,54,0.802,0
d6,brief,homogeneous,block 1,55,0.732,1
d6,brief,homogeneous,block 1,56,0.671,1
d6,brief,homogeneous,block 1,57,0.791,1
