observer,cd,bk,t,n,hetero_fix,ts
d1,brief,block 2,135,3,0,1.3958333333333333
d1,brief,block 2,135,4,0,1.3958333333333333
d1,brief,block 2,135,5,1,1.3958333333333333
d1,brief,block 2,135,6,1,1.3958333333333333
d1,brief,block 2,136,2,0,1.40625
d1,brief,block 2,136,3,1,1.40625
d1,brief,block 2,136,4,1,1.40625
d1,brief,block 2,136,5,1,1.40625
d1,brief,block 2,136,6,1,1.40625
d1,brief,block 2,137,2,0,1.4166666666666667
d1,brief,block 2,137,3,0,1.4166666666666667
d1,brief,block 2,138,2,0,1.4270833333333333
d1,brief,block 2,138,3,0,1.4270833333333333
d1,brief,block 2,138,4,0,1.4270833333333333
d1,brief,block 2,138,5,1,1.4270833333333333
d1,brief,block 2,138,6,0,1.4270833333333333
d1,brief,block 2,139,2,1,1.4375
d1,brief,block 2,139,3,0,1.4375
d1,brief,block 2,139,4,1,1.4375
d1,brief,block 2,139,5,1,1.4375
d1,brief,block 2,139,6,1,1.4375
d1,brief,block 2,140,2,0,1.4479166666666667
d1,brief,block 2,140,3,0,1.4479166666666667
d1,brief,block 2,140,4,1,1.4479166666666667
d1,brief,block 2,140,5,1,1.4479166666666667
d1,brief,block 2,140,6,0,1.4479166666666667
d1,brief,block 2,141,2,0,1.4583333333333333
d1,brief,block 2,141,3,0,1.4583333333333333
d1,brief,block 2,141,4,0,1.4583333333333333
d1,brief,block 2,141,5,1,1.4583333333333333
d1,brief,block 2,141,6,1,1.4583333333333333
d1,brief,block 2,142,2,0,1.46875
d1,brief,block 2,142,3,1,1.46875
d1,brief,block 2,142,4,1,1.46875
d1,brief,block 2,142,5,1,1.46875
d1,brief,block 2,142,6,1,1.46875
d1,brief,block 2,143,2,0,1.4791666666666667
d1,brief,block 2,143,3,1,1.4791666666666667
d1,brief,block 2,143,4,1,1.4791666666666667
d1,brief,block 2,143,5,1,1.4791666666666667
d1,brief,block 2,143,6,1,1.4791666666666667
d1,brief,block 2,144,2,0,1.4895833333333333
d1,brief,block 2,144,3,0,1.4895833333333333
d1,brief,block 2,144,4,0,1.4895833333333333
d1,brief,block 2,145,2,0,1.5
d1,brief,block 2,145,3,0,1.5
d1,brief,block 2,145,4,0,1.5
d1,brief,block 2,145,5,0,1.5
d1,brief,block 2,145,6,0,1.5
d1,brief,block 2,146,2,1,1.5104166666666667
d1,brief,block 2,146,3,0,1.5104166666666667
d1,brief,block 2,146,4,0,1.5104166666666667
d1,brief,block 2,146,5,1,1.5104166666666667
d1,brief,block 2,146,6,1,1.5104166666666667
d1,brief,block 2,147,2,0,1.5208333333333333
d1,brief,block 2,147,3,0,1.5208333333333333
d1,brief,block 2,147,4,1,1.5208333333333333
d1,brief,block 2,147,5,1,1.5208333333333333
d1,brief,block 2,147,6,1,1.5208333333333333
d1,brief,block 2,148,2,1,1.53125
d1,brief,block 2,148,3,0,1.53125
d1,brief,block 2,149,2,0,1.5416666666666667
d1,brief,block 2,149,3,0,1.5416666666666667
d1,brief,block 2,149,4,0,1.5416666666666667
d1,brief,block 2,149,5,1,1.5416666666666667
d1,brief,block 2,149,6,1,1.5416666666666667
d1,brief,block 2,150,2,0,1.5520833333333333
d1,brief,block 2,150,3,1,1.5520833333333333
d1,brief,block 2,150,4,1,1.5520833333333333
d1,brief,block 2,150,5,1,1.5520833333333333
d1,brief,block 2,150,6,1,1.5520833333333333
d1,brief,block 2,151,2,1,1.5625
d1,brief,block 2,151,3,0,1.5625
