"subj","trialNum","fixNum","fixX","xFixFlip","targSide"
"498","1",60,2,901,59,"absent"
"499","1",60,3,1033,-73,"absent"
"500","1",60,4,550,410,"absent"
"501","1",60,5,1136,-176,"absent"
"502","1",60,6,1065,-105,"absent"
"503","1",60,7,979,-19,"absent"
"504","1",61,1,946,14,"absent"
"505","1",61,2,924,36,"absent"
"506","1",61,3,1071,-111,"absent"
"507","1",61,4,1458,-498,"absent"
"508","1",61,5,992,-32,"absent"
"509","1",61,6,1323,-363,"absent"
"510","1",61,7,1014,-54,"absent"
"511","1",61,8,1124,-164,"absent"
"512","1",61,9,1018,-58,"absent"
"513","1",61,10,978,-18,"absent"
"514","1",61,11,999,-39,"absent"
"515","1",61,12,1045,-85,"absent"
"516","1",61,13,628,332,"absent"
"517","1",61,14,621,339,"absent"
"518","1",61,15,1020,-60,"absent"
"519","1",62,1,953,-7," easy"
"520","1",62,2,922,-38," easy"
"521","1",62,3,1355,395," easy"
"522","1",62,4,1404,444," easy"
"523","1",64,1,949,-11," easy"
"524","1",64,2,961,1," easy"
"525","1",64,3,1257,297," easy"
"526","1",64,4,1306,346," easy"
"527","1",65,1,948,12,"absent"
"528","1",65,2,1036,-76,"absent"
"529","1",65,3,1218,-258,"absent"
"530","1",65,4,652,308,"absent"
"531","1",65,5,782,178,"absent"
"532","1",65,6,502,458,"absent"
"533","1",65,7,1042,-82,"absent"
"534","1",65,8,1201,-241,"absent"
"535","1",65,9,1155,-195,"absent"
"536","1",65,10,1263,-303,"absent"
"537","1",65,11,1397,-437,"absent"
"538","1",65,12,699,261,"absent"
"539","1",66,1,943,-17," hard"
"540","1",66,2,833,-127," hard"
"541","1",66,3,893,-67," hard"
"542","1",66,4,517,-443," hard"
"543","1",66,5,529,-431," hard"
"544","1",66,6,505,-455," hard"
"545","1",66,7,518,-442," hard"
"546","1",67,1,935,-25,"absent"
"547","1",67,2,791,-169,"absent"
"548","1",67,3,616,-344,"absent"
"549","1",67,4,665,-295,"absent"
"550","1",67,5,692,-268,"absent"
"551","1",67,6,1172,212,"absent"
"552","1",67,7,1259,299,"absent"
"553","1",67,8,541,-419,"absent"
"554","1",67,9,463,-497,"absent"
"555","1",68,1,926,-34," hard"
"556","1",68,2,955,-5," hard"
"557","1",68,3,891,-69," hard"
"558","1",68,4,626,-334," hard"
"559","1",68,5,735,-225," hard"
"560","1",68,6,752,-208," hard"
"561","1",69,1,936,24,"absent"
"562","1",69,2,796,164,"absent"
"563","1",69,3,1023,-63,"absent"
"564","1",69,4,1119,-159,"absent"
"565","1",69,5,947,13,"absent"
"566","1",69,6,1100,-140,"absent"
"567","1",69,7,1279,-319,"absent"
"568","1",69,8,1069,-109,"absent"
"569","1",69,9,1144,-184,"absent"
"570","1",69,10,1067,-107,"absent"
"571","1",70,1,948,-12," easy"
"572","1",70,2,915,-45," easy"
"573","1",70,3,932,-28," easy"
"574","1",70,4,1343,383," easy"
"575","1",70,5,1369,409," easy"
"576","1",71,1,946,-14,"absent"
"577","1",71,2,823,-137,"absent"
"578","1",71,3,545,-415,"absent"
"579","1",71,4,1137,177,"absent"
"580","1",71,5,760,-200,"absent"
"581","1",71,6,724,-236,"absent"
"582","1",72,1,939,21,"absent"
"583","1",72,2,1030,-70,"absent"
"584","1",72,3,1013,-53,"absent"
"585","1",72,4,1171,-211,"absent"
"586","1",72,5,1096,-136,"absent"
"587","1",73,1,941,-19," easy"
"588","1",73,2,1017,57," easy"
"589","1",73,3,1020,60," easy"
"590","1",74,1,938,22,"absent"
"591","1",74,2,922,38,"absent"
"592","1",74,3,995,-35,"absent"
"593","1",74,4,864,96,"absent"
"594","1",74,5,1022,-62,"absent"
"595","1",74,6,1092,-132,"absent"
"596","1",74,7,532,428,"absent"
"597","1",74,8,1107,-147,"absent"
"598","1",75,1,928,32," hard"
"599","1",75,2,946,14," hard"
"600","1",75,3,1078,-118," hard"
"601","1",75,4,1077,-117," hard"
