"condition","subj","trialNum","fixNo","xFix","xFixFlip","yFix","targSide","easySide","accuracy","RT","targetPre","trialType"
"109","tex",1,29,9,842,118,920,"absent"," left",1,5.725,"absent","half"
"110","tex",1,29,10,798,162,916,"absent"," left",1,5.725,"absent","half"
"111","tex",1,29,11,1043,-83,876,"absent"," left",1,5.725,"absent","half"
"112","tex",1,29,12,977,-17,847,"absent"," left",1,5.725,"absent","half"
"113","tex",1,29,13,1262,-302,953,"absent"," left",1,5.725,"absent","half"
"114","tex",1,29,14,1217,-257,936,"absent"," left",1,5.725,"absent","half"
"115","tex",1,29,15,1091,-131,953,"absent"," left",1,5.725,"absent","half"
"116","tex",1,29,16,1274,-314,737,"absent"," left",1,5.725,"absent","half"
"117","tex",1,29,17,1207,-247,723,"absent"," left",1,5.725,"absent","half"
"118","tex",1,29,18,1338,-378,614,"absent"," left",1,5.725,"absent","half"
"119","tex",1,29,19,1099,-139,441,"absent"," left",1,5.725,"absent","half"
"120","tex",1,29,20,1105,-145,294,"absent"," left",1,5.725,"absent","half"
"121","tex",1,29,21,623,337,262,"absent"," left",1,5.725,"absent","half"
"122","tex",1,29,22,532,428,295,"absent"," left",1,5.725,"absent","half"
"123","tex",1,29,23,932,28,238,"absent"," left",1,5.725,"absent","half"
"124","tex",1,29,24,808,152,206,"absent"," left",1,5.725,"absent","half"
"125","tex",1,30,1,955,-5,536," easy"," right",1,0.621,"present","half"
"126","tex",1,30,2,903,-57,522," easy"," right",1,0.621,"present","half"
"127","tex",1,30,3,1019,59,576," easy"," right",1,0.621,"present","half"
"128","tex",1,30,4,1016,56,563," easy"," right",1,0.621,"present","half"
"129","tex",1,31,1,953,7,527,"absent"," left",1,6.032,"absent","half"
"130","tex",1,31,2,1026,-66,494,"absent"," left",1,6.032,"absent","half"
"131","tex",1,31,3,840,120,534,"absent"," left",1,6.032,"absent","half"
"132","tex",1,31,4,749,211,663,"absent"," left",1,6.032,"absent","half"
"133","tex",1,31,5,535,425,594,"absent"," left",1,6.032,"absent","half"
"134","tex",1,31,6,1008,-48,677,"absent"," left",1,6.032,"absent","half"
"135","tex",1,31,7,1273,-313,670,"absent"," left",1,6.032,"absent","half"
"136","tex",1,31,8,1441,-481,677,"absent"," left",1,6.032,"absent","half"
"137","tex",1,31,9,1473,-513,641,"absent"," left",1,6.032,"absent","half"
"138","tex",1,31,10,1026,-66,308,"absent"," left",1,6.032,"absent","half"
"139","tex",1,31,11,1013,-53,386,"absent"," left",1,6.032,"absent","half"
"140","tex",1,31,12,1024,-64,570,"absent"," left",1,6.032,"absent","half"
"141","tex",1,31,13,710,250,818,"absent"," left",1,6.032,"absent","half"
"142","tex",1,31,14,566,394,848,"absent"," left",1,6.032,"absent","half"
"143","tex",1,31,15,547,413,844,"absent"," left",1,6.032,"absent","half"
"144","tex",1,31,16,1056,-96,922,"absent"," left",1,6.032,"absent","half"
"145","tex",1,31,17,1174,-214,899,"absent"," left",1,6.032,"absent","half"
"146","tex",1,31,18,1306,-346,833,"absent"," left",1,6.032,"absent","half"
"147","tex",1,31,19,1300,-340,311,"absent"," left",1,6.032,"absent","half"
"148","tex",1,31,20,740,220,196,"absent"," left",1,6.032,"absent","half"
"149","tex",1,31,21,1097,-137,196,"absent"," left",1,6.032,"absent","half"
"150","tex",1,31,22,1073,-113,196,"absent"," left",1,6.032,"absent","half"
"151","tex",1,31,23,971,-11,267,"absent"," left",1,6.032,"absent","half"
"152","tex",1,32,1,954,-6,537,"absent"," right",1,8.461,"absent","half"
"153","tex",1,32,2,857,-103,606,"absent"," right",1,8.461,"absent","half"
"154","tex",1,32,3,1120,160,766,"absent"," right",1,8.461,"absent","half"
"155","tex",1,32,4,973,13,741,"absent"," right",1,8.461,"absent","half"
"156","tex",1,32,5,514,-446,590,"absent"," right",1,8.461,"absent","half"
"157","tex",1,32,6,594,-366,643,"absent"," right",1,8.461,"absent","half"
"158","tex",1,32,7,539,-421,639,"absent"," right",1,8.461,"absent","half"
"159","tex",1,32,8,462,-498,399,"absent"," right",1,8.461,"absent","half"
"160","tex",1,32,9,933,-27,286,"absent"," right",1,8.461,"absent","half"
"161","tex",1,32,10,828,-132,271,"absent"," right",1,8.461,"absent","half"
"162","tex",1,32,11,756,-204,376,"absent"," right",1,8.461,"absent","half"
